"","sample_id","condition"
"CA.102548","CA.102548","Tumor"
"CA.104338","CA.104338","Tumor"
"CA.105094","CA.105094","Tumor"
"CA.109745","CA.109745","Tumor"
"CA.1906415","CA.1906415","Tumor"
"CA.1912627","CA.1912627","Tumor"
"CA.1924346","CA.1924346","Tumor"
"CA.1926760","CA.1926760","Tumor"
"CA.1927842","CA.1927842","Tumor"
"CA.1933414","CA.1933414","Tumor"
"CA.1940640","CA.1940640","Tumor"
"CA.2004407","CA.2004407","Tumor"
"CA.2005288","CA.2005288","Tumor"
"CA.2006047","CA.2006047","Tumor"
"CA.2008260","CA.2008260","Tumor"
"CA.2009329","CA.2009329","Tumor"
"CA.2009381","CA.2009381","Tumor"
"CA.2009850","CA.2009850","Tumor"
"CA.2017611","CA.2017611","Tumor"
"CA.2039179","CA.2039179","Tumor"
"CA.2040686","CA.2040686","Tumor"
"CA.2045012","CA.2045012","Tumor"
"CA.2046297","CA.2046297","Tumor"
"CA.348981","CA.348981","Tumor"
"CA.354300","CA.354300","Tumor"
"CA.359448","CA.359448","Tumor"
"CA.94377","CA.94377","Tumor"
"CA.98389","CA.98389","Tumor"
"CA.98475","CA.98475","Tumor"
"CA.99145","CA.99145","Tumor"
"CAP.102548","CAP.102548","Normal"
"CAP.104338","CAP.104338","Normal"
"CAP.105094","CAP.105094","Normal"
"CAP.109745","CAP.109745","Normal"
"CAP.1906415","CAP.1906415","Normal"
"CAP.1912627","CAP.1912627","Normal"
"CAP.1924346","CAP.1924346","Normal"
"CAP.1926760","CAP.1926760","Normal"
"CAP.1927842","CAP.1927842","Normal"
"CAP.1933414","CAP.1933414","Normal"
"CAP.1940640","CAP.1940640","Normal"
"CAP.2004407","CAP.2004407","Normal"
"CAP.2005288","CAP.2005288","Normal"
"CAP.2006047","CAP.2006047","Normal"
"CAP.2008260","CAP.2008260","Normal"
"CAP.2009329","CAP.2009329","Normal"
"CAP.2009381","CAP.2009381","Normal"
"CAP.2009850","CAP.2009850","Normal"
"CAP.2017611","CAP.2017611","Normal"
"CAP.2039179","CAP.2039179","Normal"
"CAP.2040686","CAP.2040686","Normal"
"CAP.2046297","CAP.2046297","Normal"
"CAP.2046641","CAP.2046641","Normal"
"CAP.348981","CAP.348981","Normal"
"CAP.354300","CAP.354300","Normal"
"CAP.359448","CAP.359448","Normal"
"CAP.94377","CAP.94377","Normal"
"CAP.98389","CAP.98389","Normal"
"CAP.98475","CAP.98475","Normal"
"CAP.99145","CAP.99145","Normal"
